i,j,x,y
0,0,1,0.000000000000000027755575615628914
0,1,1.1383687496517447,0.00000000000000016046192152785466
0,2,1.2976365251223485,0.00000000000000007979727989493313
0,3,1.4842687913852228,-0.000000000000000242861286636753
0,4,1.701821023660497,-0.00000000000000040939474033052647
0,5,1.9542898330943612,-0.0000000000000006140921104957897
0,6,2.2464670484757843,-0.0000000000000008881784197001252
0,7,2.5842317082866337,-0.0000000000000010755285551056204
0,8,2.974768867172501,-0.0000000000000011934897514720433
0,9,3.4266371826225672,-0.0000000000000010755285551056204
0,10,3.9497289239360196,-0.0000000000000010200174038743626
0,11,4.555257687068012,-0.0000000000000007632783294297951
0,12,5.255858320362419,-0.0000000000000004718447854656915
0,13,6.065760580662909,-0.00000000000000006938893903907228
0,14,7,0
1,0,0.9984673712379724,-0.00037090996429370304
1,1,1.0950204000302568,-0.0909673576995338
1,2,1.2564378556524853,-0.13942634158882686
1,3,1.4475533749807694,-0.17178502736270923
1,4,1.6699485818219453,-0.19369643030622205
1,5,1.9269185069492516,-0.20899963126507787
1,6,2.223012737431892,-0.2210956167336669
1,7,2.564054181365022,-0.2329478663128485
1,8,2.957210245679704,-0.24686759810570846
1,9,3.4110215789676737,-0.2644904629253047
1,10,3.9353860247656307,-0.2869564398121404
1,11,4.541560142985393,-0.31515327358184314
1,12,5.242240579474358,-0.34991799648420546
1,13,6.051705798141987,-0.39217975260769083
1,14,6.9848469997385045,-0.44357568687036136
2,0,0.9966282167235392,-0.0008150291491893641
2,1,1.077245430398429,-0.10372992589158571
2,2,1.2136767334062344,-0.19433758813649007
2,3,1.3956040510253274,-0.26253748675943084
2,4,1.61525663469967,-0.31541476232946764
2,5,1.8726990384015962,-0.3585176571555221
2,6,2.171006545690791,-0.39633787061798414
2,7,2.5151259812578006,-0.4326840646017635
2,8,2.9115333868095328,-0.47086370974839387
2,9,3.3681827227913357,-0.5137785121915908
2,10,3.894533216369278,-0.5640035192913884
2,11,4.501582586947613,-0.6238810007033193
2,12,5.201913381155231,-0.6956420989304297
2,13,6.009748800068504,-0.7815683612440798
2,14,6.93945864923615,-0.8850832191256028
3,0,0.9944212313062194,-0.0013465768756111551
3,1,1.062353478842998,-0.11063966791532492
3,2,1.1867668531648605,-0.21519781989029926
3,3,1.355091070085306,-0.307971078863526
3,4,1.565020100667516,-0.3890929488175998
3,5,1.816100268326187,-0.4621571165554043
3,6,2.1106698902690897,-0.5307408701607267
3,7,2.4530016396377645,-0.5981078827538084
3,8,2.848879068150587,-0.667483684246734
3,9,3.305541225001129,-0.7422062690945697
3,10,3.831762027969517,-0.8257501350473567
3,11,4.437950720869231,-0.9216938106196477
3,12,5.136231946151739,-1.0336981052205512
3,13,5.940468346595893,-1.1655627974558282
3,14,6.864046569935099,-1.3224640848421196
4,0,0.9917728488054356,-0.001982434338290734
4,1,1.0474710744258515,-0.11754182007451457
4,2,1.16304338647007,-0.23105736727031848
4,3,1.3206391107658495,-0.33964987509435435
4,4,1.5197706844026642,-0.44296415949554196
4,5,1.7615370511005357,-0.5424230198871125
4,6,2.0485533573757424,-0.6402100503019043
4,7,2.3849166781585103,-0.7388374812046193
4,8,2.7760737922508496,-0.8411837012948314
4,9,3.2288169494344805,-0.9505823443250444
4,10,3.7513803021711296,-1.070856256724449
4,11,4.353577724182815,-1.206293539678987
4,12,5.046931331999188,-1.3615955614236321
4,13,5.8447125785537155,-1.5418622024223765
4,14,6.758962367760696,-1.7536790125206578
5,0,0.9885947898044951,-0.002742599670549725
5,1,1.032593914620532,-0.12442049825354079
5,2,1.139706060924876,-0.24615142157059502
5,3,1.2877194161724048,-0.367582992709095
5,4,1.4766121887616679,-0.4887644534732722
5,5,1.7082618076487235,-0.610534857474519
