i,j,x,y
0,0,1,0.000000000000000016653345369377347
0,1,1.0190124376763625,0.000000000000000009137251027263534
0,2,1.0668307265316763,0.000000000000000009923155066664341
0,3,1.1443025221822765,0.000000000000000006977185831303394
0,4,1.2551863946345583,0.000000000000000015155474978938995
0,5,1.405157048012916,0.000000000000000026275329908100834
0,6,1.6020139479676638,0.00000000000000002455580753790199
0,7,1.8560937983573895,0.000000000000000018606925254107712
0,8,2.1808405238074693,0.0000000000000000320232898541485
0,9,2.5935561888177587,0.00000000000000006899315541581921
0,10,3.116372983461341,0.00000000000000012256821649082273
0,11,3.777498243637358,0.0000000000000002183598736453789
0,12,4.612794813439731,0.000000000000000684485466756071
0,13,5.667765051014686,0.000000000000000368412919815008
0,14,7,0
1,0,0.9984673712379724,-0.0002225459785762218
1,1,1.0183754942118386,-0.006555760976217724
1,2,1.0660244756439554,-0.014254085527706857
1,3,1.1432271300317436,-0.023651679909258202
1,4,1.2537752498467534,-0.03488230727115814
1,5,1.4033321753618115,-0.048270852018037304
1,6,1.5996776126188907,-0.06435331662119215
1,7,1.8531222362588375,-0.08387905495582634
1,8,2.1770768095262865,-0.10782810910368909
1,9,2.5888013838384563,-0.1374500102239648
1,10,3.1103749192971577,-0.17432603222870227
1,11,3.769937202173209,-0.22045780108002047
1,12,4.603265156094368,-0.2783883230095801
1,13,5.655751528458766,-0.3513666156418772
1,14,6.9848469997385045,-0.44357568687036136
2,0,0.9966282167235392,-0.0004890174895136185
2,1,1.0165522984491349,-0.013090031483878667
2,2,1.0636063827862285,-0.028502712651603607
2,3,1.1399964571213685,-0.047279718327522105
2,4,1.249538214057796,-0.06969658165181196
2,5,1.3978565283231748,-0.09640850208657055
2,6,1.5926710544744285,-0.1284901668099311
2,7,1.8442141563983554,-0.1674401899012363
2,8,2.1657971131390394,-0.2152160008636238
2,9,2.574554075119304,-0.27431170239503166
2,10,3.0924045589482043,-0.347882648679338
2,11,3.747286053981601,-0.43992245108543
2,12,4.574718200137686,-0.5555044842345982
2,13,5.619765563368532,-0.7011101604402997
2,14,6.93945864923615,-0.8850832191256028
3,0,0.9944212313062194,-0.0008079461253666931
3,1,1.0135924688564144,-0.01960205593127471
3,2,1.059570465006557,-0.04274466278380139
3,3,1.1345963415618523,-0.07086072974674157
3,4,1.2424644664170932,-0.10437358540131923
3,5,1.388727167401541,-0.1442781138837549
3,6,1.5810018096630063,-0.19219263065363823
3,7,1.8293895614454248,-0.25036459434322095
3,8,2.1470359210726766,-0.3217233743980948
3,9,2.550865677927619,-0.40999765820508155
3,10,3.0625334365760692,-0.5199024810815961
3,11,3.7096406989299693,-0.6574041912914163
3,12,4.527279887974804,-0.8300813303169854
3,13,5.559970762399899,-1.0476145852307495
3,14,6.864046569935099,-1.3224640848421196
4,0,0.9917728488054356,-0.0011894606029744404
4,1,1.009510435068095,-0.026108451896398238
4,2,1.0538977028295018,-0.056984551763768806
4,3,1.1270016564947793,-0.09437133280387613
4,4,1.2325359892372862,-0.13884152582580775
4,5,1.3759397035251428,-0.1917415584473041
4,6,1.5646830834431258,-0.25523991319055583
4,7,1.80868239813191,-0.33233173265729316
4,8,2.120851196165339,-0.4269098228394732
4,9,2.517822201029597,-0.5439223145052773
4,10,3.0208808964918648,-0.6896223006103832
4,11,3.657160870132813,-0.8719200774166511
4,12,4.461159767841269,-1.1008617366432334
4,13,5.47663913178166,-1.3892778730969888
4,14,6.758962367760696,-1.7536790125206578
5,0,0.9885947898044951,-0.0016455598023298352
5,1,1.004285502279732,-0.03263888751184047
5,2,1.0465511912101422,-0.07123233937271381
5,3,1.1171749609734893,-0.11778717121103378
5,4,1.2197277793907153,-0.17302446232427154
5,5,1.3594891184388016,-0.23865572252241835
5,6,1.5437347289296892,-0.317406992252733
5,7,1.7821414621472436,-0.41301862277647855
5,8,2.0873250890888824,-0.5303349326922179
5,9,2.475544702840406,-0.6755030287006698
5,10,2.9676142566159593,-0.8562851969732733
5,11,3.5900699693533844,-1.0824974595177193
5,12,4.376650449802251,-1.3666036500258358
5,13,5.370150065664122,-1.7245190268380002
5,14,6.624695993772333,-2.17671747911141
6,0,0.9847811190033665,-0.0021904211547729064
6,1,0.9978614653342123,-0.03923141410993009
6,2,1.0374726618134553,-0.08550136150734547
6,3,1.1050655169483132,-0.1410811894096069
6,4,1.2040084251971581,-0.206840437088409
6,5,1.3393710081433583,-0.28487079852267
6,6,1.5181846345583838,-0.3784633832877505
6,7,1.7498316458647167,-0.4920992886047839
6,8,2.046564900132465,-0.6315585647542442
6,9,2.424189892425586,-0.8041613056401199
6,10,2.9029490025191813,-1.0191428839492769
6,11,3.508654807896319,-1.2881775444072334
6,12,4.274126823992898,-1.6260851614371719
6,13,5.240988921476112,-2.05178501962348
6,14,6.461873459785445,-2.5896070840005696
7,0,0.9802047140420121,-0.0028407437537773276
7,1,0.9901464054862117,-0.04592816753192686
7,2,1.0265803030222123,-0.09980541880631816
7,3,1.090608977244643,-0.16422126064929324
7,4,1.1853412235308958,-0.24019935751592464
7,5,1.315583316780507,-0.3302286004359066
7,6,1.4880705269699819,-0.4381720814507098
7,7,1.7118355053031895,-0.5692444498029178
7,8,1.9987042557272099,-0.730141374425473
7,9,2.363950837942619,-0.9293242331480159
7,10,2.827148978209637,-1.177458165558608
7,11,3.41326522556252,-1.4880190604198682
7,12,4.1540450221442375,-1.8781096124496002
7,13,5.0897451748249045,-2.3695576926767394
7,14,6.271253919615439,-2.9904227452524887
8,0,0.974713028088387,-0.003616122549627587
8,1,0.9810125893183902,-0.05277176436981771
8,2,1.013767801121366,-0.11415533550220287
8,3,1.0737279701042914,-0.18716732028996927
8,4,1.1636859938101611,-0.27300070967796913
8,5,1.288128620020917,-0.37456097990343395
8,6,1.4534421851748993,-0.4962887545631686
8,7,1.6682551104164207,-0.6441215151522399
8,8,1.9439044522818232,-0.8256456258033742
8,9,2.2950577348840593,-1.0504261672313828
8,10,2.740526531601882,-1.3305075902456927
8,11,3.3043135541627078,-1.6811020380141435
8,12,4.016941099694243,-2.1215107339113723
8,13,4.917110145519856,-2.6763605807745354
8,14,6.053726129552175,-3.377295675230318
9,0,0.9681230049440367,-0.004539445397521283
9,1,0.9702962476439058,-0.059802367854337186
9,2,0.9989045359201332,-0.1285552578484823
9,3,1.054333755488057,-0.20986817303133723
9,4,1.1390017192102804,-0.3051312221124828
9,5,1.2570169978047119,-0.41768844425772333
9,6,1.414364044338409,-0.5525612723686645
9,7,1.6192141275268936,-0.7163949463568405
9,8,1.8823559074790808,-0.9176363484798545
9,9,2.2177786768894845,-1.1669106999736525
9,10,2.643442565548077,-1.477584312048822
9,11,3.182273887309122,-1.8665317120996276
9,12,3.863429413210246,-2.3551578093836683
9,13,4.723874286143933,-2.97076564287774
9,14,5.8103043045678735,-3.748422093746636
10,0,0.9602149771708164,-0.005637297947000638
10,1,0.9577971104827124,-0.06705520652149798
10,2,0.9818369236079106,-0.14299882871574082
10,3,1.0323291062212263,-0.23225813959347236
10,4,1.1112501146383889,-0.336462630379457
10,5,1.2222695073290604,-0.4594191017747213
10,6,1.3709181436945148,-0.6067296659654716
10,7,1.5648600648970836,-0.7857270566835471
10,8,1.8142796466055842,-1.0056828778566653
10,9,2.132420363344383,-1.2782329330784665
10,10,2.5363064397593673,-1.6180011678308694
10,11,3.0476811149781855,-2.0434425433468593
10,12,3.6942006666169114,-2.5779608492294503
10,13,4.510924025318568,-3.251399871499618
10,14,5.5421233895787285,-4.102071638119344
11,0,0.9507253438429522,-0.006940351542584219
11,1,0.9432777423085159,-0.0745582592888005
11,2,0.9623910095520728,-0.15746527649677966
11,3,1.007612568673099,-0.2542537033513851
11,4,1.080400185625773,-0.36684971920734655
11,5,1.1839222289743416,-0.4995480776379594
11,6,1.3232073437317333,-0.6585266145918053
11,7,1.5053665928928772,-0.8517793021399307
11,8,1.7399287394521883,-1.0893608086364301
11,9,2.0393286709941085,-1.3838620679317069
11,10,2.419575665249277,-1.751093968452991
11,11,2.9011296798813606,-2.2110023463516826
11,12,3.5100195999532633,-2.788875754261606
11,13,4.279238159445198,-3.5169517506852284
11,14,5.250433767807807,-4.436595430921251
12,0,0.9393377838495149,-0.008483695189030444
12,1,0.9264629085831393,-0.08232981142974725
12,2,0.9403765656403202,-0.17191540013947945
12,3,0.9800842736043701,-0.275750323923026
12,4,1.0464337986255012,-0.3961288443444813
12,5,1.1420308103088024,-0.5378575559346648
12,6,1.2713587040912433,-0.7076785533763578
12,7,1.440935830190495,-0.9142141109950689
12,8,1.6595895927537192,-1.1682543766489781
12,9,1.9388890119601363,-1.483284309022988
12,10,2.293755331431549,-1.8762249895744565
12,11,2.7432720131712527,-2.3684165027191413
12,12,3.311722296136432,-2.986909440828667
12,13,4.029883789254767,-3.7661775289253194
12,14,4.936595430921252,-4.750433767807806
13,0,0.9256727118573902,-0.010307052108272574
13,1,0.9070394215942696,-0.09037559383772871
13,2,0.9155931352417974,-0.18628741815650265
13,3,0.9496534836163352,-0.29661961235822604
13,4,1.0093522244302917,-0.4241171623599018
13,5,1.0966753761266954,-0.5741176065728572
13,6,1.2155268773248769,-0.7539074835819985
13,7,1.3718004686678096,-0.972697279666309
13,8,1.5735829951354812,-1.2419592663157064
13,9,1.8315263984776882,-1.5760060618976097
13,10,2.1593972070095417,-1.992786634943289
13,11,2.5748166095599183,-2.514932227283365
13,12,3.100213084488683,-3.1711248924560422
13,13,3.7640118009003243,-3.9979072701557414
13,14,4.602071638119343,-5.0421233895787285
14,0,0.9092746254668407,-0.012454790447174468
14,1,0.8846572066430068,-0.09868521922294797
14,2,0.8878386933157131,-0.20049267806959561
14,3,0.9162480583418745,-0.3167071180287422
14,4,0.9691835334915939,-0.4506128226635087
14,5,1.0479656059718252,-0.6080879483954196
14,6,1.1558973373022887,-0.7969335446851827
14,7,1.2982255940461311,-1.0269009390223087
14,8,1.4822648073085907,-1.3100858201382564
14,9,1.7177051359795776,-1.6615573899828813
14,10,2.0170984595423613,-2.100205232090623
14,11,2.396525706575812,-2.6498428462037262
14,12,2.8764610245269187,-3.340646096980934
14,13,3.482851895496656,-4.211050643383198
14,14,4.248422093746636,-5.310304304567873
15,0,0.8895969217981812,-0.014975587719618346
15,1,0.8589327778186868,-0.10722761160665197
15,2,0.8569218485040854,-0.21441130047526835
15,3,0.8798259614606875,-0.33583106447676603
15,4,0.925990605123741,-0.47539639684719676
15,5,0.9960457068350804,-0.6395207767930315
15,6,1.0926892281727607,-0.8364783740650815
15,7,1.2205100493662873,-1.0765070652182194
15,8,1.3860261910197074,-1.372262603302512
15,9,1.5979280713416606,-1.7394956773418684
15,10,1.8674999452006824,-2.197944907832612
15,11,2.2092125393870856,-2.772492037010565
15,12,2.6414959595939584,-3.494662822818302
15,13,3.1877071758205955,-4.4046024095777385
15,14,3.877295675230318,-5.553726129552175
16,0,0.8659836773957897,-0.017921520192213315
16,1,0.8294570510488749,-0.11594508360119486
16,2,0.8226787921001858,-0.22788797769042501
16,3,0.8403887798075714,-0.35378248989555605
16,4,0.8798793545901773,-0.49823382552274226
16,5,0.9410989328993465,-0.6681647406460883
16,6,1.026157595068869,-0.8722692345314726
16,7,1.1389871865138164,-1.1212114742165569
16,8,1.2852932770992562,-1.4281402519114001
16,9,1.4727353325256456,-1.8094094275409396
16,10,1.7112840297325034,-2.285511479560934
16,11,2.013738151226941,-2.8822779732543244
16,12,2.3964041371429414,-3.6324351838434685
16,13,2.879948304181289,-4.577647563409095
16,14,3.490422745252489,-5.771253919615439
17,0,0.83764778411292,-0.021346176504215292
17,1,0.7958106966876116,-0.12474564866985881
17,2,0.7849964310447461,-0.24072839962589168
17,3,0.7979969116653607,-0.3703273875588125
17,4,0.8310065833391366,-0.518881134988401
17,5,0.8833512361007244,-0.6937700843373881
17,6,0.9565947469174496,-0.9040438330728984
17,7,1.0540248596763437,-1.1607282009496436
17,8,1.1805261866631758,-1.4773955090103377
17,9,1.3427025096081826,-1.8709221134207494
17,10,1.549171913880369,-2.3624562886440255
17,11,1.8110077497242587,-2.9786573106581145
17,12,2.1423234006300436,-3.7532979396049524
17,13,2.5610072510847606,-4.729366087259447
17,14,3.0896070840005687,-5.961873459785445
18,0,0.8036447121734764,-0.025301033269379256
18,1,0.7575925153097481,-0.13349307911867994
18,2,0.7438431396838466,-0.2526972070522602
18,3,0.7527855342974796,-0.385211571414711
18,4,0.779586634832229,-0.5370910917176502
18,5,0.8230735860243179,-0.7160948726470071
18,6,0.8843305110392075,-0.9315556886769655
18,7,0.9660245357676605,-1.194794125386995
18,8,1.072217340438552,-1.5197353303137424
18,9,1.2084382450641762,-1.9236959797725204
18,10,1.3819204510771441,-2.4283798950325157
18,11,1.601966611022314,-3.0611489479565663
18,12,1.8804379667407045,-3.8566644763681546
18,13,2.232370660068488,-4.859037275773134
18,14,2.676717479111411,-6.124695993772333
19,0,0.762841025846144,-0.029828529226674807
19,1,0.7144705266862662,-0.14199421908807672
19,2,0.6993078551787935,-0.2635190732741713
19,3,0.704979625438833,-0.3981690411137499
19,4,0.7258958347556074,-0.5526217955046401
19,5,0.7605824950861867,-0.7349120910529314
19,6,0.8097311743532947,-0.9545798380302635
19,7,0.8754194314771169,-1.2231736722253028
19,8,0.9608890190006,-1.5549009234760451
19,9,1.0705812226120455,-1.967435691883144
19,10,1.2103184616583564,-2.4829355479666653
19,11,1.3875955460203213,-3.129337494222142
19,12,1.6119728107494915,-3.9420304149552163
19,13,1.8955728597866865,-4.966043591013156
19,14,2.253679012520659,-6.258962367760695
20,0,0.7138766022533451,-0.03494844110609247
20,1,0.6662732860341767,-0.14998347358738878
20,2,0.6516457975047969,-0.27288557060440216
20,3,0.6549052410392368,-0.40893445554703867
20,4,0.6702735871164567,-0.5652469432590338
20,5,0.6962383462469485,-0.7500172708259324
20,6,0.7331969704769121,-0.9729186032922386
