i,j,x,y
0,0,1,0.000000000000000016653345369377347
0,1,1.0111766037453365,0.000000000000000005640517831381424
0,2,1.0317121729350376,0.00000000000000002164861650844223
0,3,1.0605998080313237,0.00000000000000006172840726105103
0,4,1.0985611034612588,0.00000000000000006436566303117674
0,5,1.1465896385042802,0.00000000000000006742410419837718
0,6,1.20575657902113,0.00000000000000008289391701596589
0,7,1.27722988180576,0.00000000000000007459795714100533
0,8,1.3623276966196354,0.00000000000000007761949119819505
0,9,1.4625690312476618,0.00000000000000007816751782859149
0,10,1.5797182223319501,0.00000000000000007992897651948251
0,11,1.7158265361035312,0.0000000000000000798445108947123
0,12,1.873274434723783,0.00000000000000008167375531501104
0,13,2.0548171646196454,0.00000000000000008641432919116672
0,14,2.2636356029214606,0.00000000000000008856869407741198
0,15,2.5033938786180285,0.00000000000000010268167918702675
0,16,2.778305085408297,0.0000000000000001208689019456285
0,17,3.0932063331083772,0.0000000000000001525223129548854
0,18,3.453644377485649,0.00000000000000017290579039690745
0,19,3.8659730756131068,0.0000000000000002164240540779791
0,20,4.337463891918191,0.00000000000000026009909031126094
0,21,4.876430580145848,0.0000000000000003245244705458928
0,22,5.492368922812113,0.00000000000000037215971942375754
0,23,6.196111925591635,0.0000000000000004043890744031762
0,24,7,0
1,0,0.9984673712379724,-0.0002225459785762218
1,1,1.0103765740638597,-0.005054020771133832
1,2,1.0308674540880751,-0.009389071954218585
1,3,1.0596519737240047,-0.013934916412090641
1,4,1.0974932118119418,-0.018914305129614443
1,5,1.145381687408446,-0.024438320858750317
1,6,1.2043842953779582,-0.03058079370886998
1,7,1.2756657114771182,-0.03741175734162749
1,8,1.3605410595045466,-0.04501328076176276
1,9,1.4605260144207477,-0.05348647467151639
1,10,1.5773809817156619,-0.0629545498053544
1,11,1.713152546149665,-0.07356449127503753
1,12,1.8702156383660735,-0.08548859812199104
1,13,2.051319032456041,-0.09892645804333132
1,14,2.2596360908658597,-0.11410760460862268
1,15,2.498822264252916,-0.1312949679982924
1,16,2.7730806585611636,-0.15078918783754075
1,17,3.0872369128208943,-0.17293386100446934
1,18,3.446824624224347,-0.19812182618117316
1,19,3.8581825636718206,-0.22680263175625384
1,20,4.3285649021593375,-0.2594913936459486
1,21,4.866265567287351,-0.2967793292023391
1,22,5.480757604166512,-0.3393463621382179
1,23,6.182847929258374,-0.3879763471088024
1,24,6.9848469997385045,-0.44357568687036136
2,0,0.9966282167235392,-0.0004890174895136185
2,1,1.0082290974843766,-0.00989723827250811
2,2,1.0283903263602767,-0.018604917301369667
2,3,1.0568339553224635,-0.027734781399794003
2,4,1.0943033817787535,-0.03771793237040251
2,5,1.1417656930993225,-0.04877489828510901
2,6,1.2002721854487632,-0.06105458128881279
2,7,1.2709766040088568,-0.07469909980341632
2,8,1.3551843966062114,-0.08987453256114017
2,9,1.454400874142675,-0.10678458412853864
2,10,1.5703744210146702,-0.1256766232760964
2,11,1.7051374389661904,-0.14684506164594677
2,12,1.8610481853002083,-0.17063449597844957
2,13,2.0408359797508884,-0.19744372103061444
2,14,2.2476516330597476,-0.22773109475501355
2,15,2.485124575496588,-0.2620214737276222
2,16,2.7574279820667438,-0.3009148557463658
2,17,3.0693531269854226,-0.3450968764356614
2,18,3.4263941934874587,-0.3953513644900817
2,19,3.8348447701800197,-0.4525752492133206
2,20,4.3019072397822615,-0.5177962328545143
2,21,4.835816161745447,-0.5921937979941545
2,22,5.445976501321495,-0.6771243357758693
2,23,6.143117067286525,-0.77415148535332
2,24,6.93945864923615,-0.8850832191256028
3,0,0.9944212313062194,-0.0008079461253666931
3,1,1.004952205616014,-0.014441384939884887
3,2,1.0243967681061275,-0.02752997452611406
3,3,1.052209969045506,-0.041293903929993256
3,4,1.089028206954458,-0.05631699593402434
3,5,1.1357627206714607,-0.07291774478787184
3,6,1.1934331090338914,-0.09131989576632905
3,7,1.2631720308227405,-0.11174057709613236
3,8,1.3462670733781197,-0.13443314529174205
3,9,1.444205172011073,-0.15970650938298686
3,10,1.558713977163407,-0.1879338701644709
3,11,1.6918018238365973,-0.21955780604674668
3,12,1.845798937771822,-0.25509511480049946
3,13,2.0234021025702957,-0.2951429750994003
3,14,2.2277245250174103,-0.34038711113508824
3,15,2.4623523216313865,-0.3916122741778084
3,16,2.7314088932906158,-0.4497152444996085
3,17,3.0396283997582283,-0.5157205758876061
3,18,3.39243954111798,-0.5907993920356877
3,19,3.796060856461502,-0.6762916761660044
3,20,4.257608721111385,-0.7737326709326783
3,21,4.785219114366133,-0.8848842387501629
3,22,5.388183974799431,-1.0117723511655035
3,23,6.077102462703696,-1.1567323257767324
3,24,6.864046569935099,-1.3224640848421196
4,0,0.9917728488054356,-0.0011894606029744404
4,1,1.0006974737533776,-0.018693168027658517
4,2,1.0190089613656539,-0.036120432292060495
4,3,1.0458582717848512,-0.05455320852183016
4,4,1.0817145998335207,-0.07464613741492712
4,5,1.127400319449738,-0.09679191073517086
4,6,1.1838843193722755,-0.12128502529987593
4,7,1.2522654996378533,-0.14841992551090372
4,8,1.333803534183092,-0.17854092258606094
4,9,1.429957671462151,-0.21206528530065474
4,10,1.5424252560668528,-0.24949406563615545
4,11,1.6731801385287894,-0.2914187928335949
4,12,1.8245128562466193,-0.3385281022446262
4,13,1.9990744473129827,-0.39161617673880417
4,14,2.1999254613729624,-0.4515938260711148
4,15,2.430591504447181,-0.5195025921387815
4,16,2.695126536331812,-0.5965321446306793
4,17,2.99818509893569,-0.6840412654191194
4,18,3.3451046530692525,-0.7835828374904428
4,19,3.7419992032098177,-0.8969334279319644
4,20,4.195865356554844,-1.0261282842383863
4,21,4.714701847387821,-1.1735028676356802
4,22,5.30764329539839,-1.3417424630068435
4,23,5.985108460493318,-1.5339419922156485
4,24,6.758962367760696,-1.7536790125206578
5,0,0.9885947898044951,-0.0016455598023298352
5,1,0.9955375453860156,-0.022715730053812964
5,2,1.0123165579614997,-0.04439806583286729
5,3,1.0378451032624354,-0.06750296671002858
5,4,1.0724043514886814,-0.09267274751123379
5,5,1.1167035431852381,-0.12034272326840173
5,6,1.1716423269186518,-0.1508699591817093
5,7,1.238271733539172,-0.18462698151546822
5,8,1.3178118863346466,-0.22205231957382673
5,9,1.411683767949475,-0.26367468087035867
5,10,1.5215439570732783,-0.31012488466106514
5,11,1.649320842482376,-0.3621439216103681
5,12,1.7972533148984764,-0.42059141397058836
5,13,1.9679333525852811,-0.48645646340485205
5,14,2.1643538406309597,-0.560871765473972
5,15,2.389962842983884,-0.6451314185185851
5,16,2.6487254766352075,-0.7407127423886224
5,17,2.945194517671426,-0.8493024806818259
5,18,3.2845908749552066,-0.9728279101062123
5,19,3.6728950691480615,-1.113493594530322
5,20,4.116950817709636,-1.273824801674297
5,21,4.624581704967599,-1.4567189712059005
5,22,5.204721646017924,-1.665507129374041
5,23,5.867559337982166,-1.9040278598245213
5,24,6.624695993772333,-2.17671747911141
6,0,0.9847811190033665,-0.0021904211547729064
6,1,0.9894696095934298,-0.026597891364979965
6,2,1.0043551915779594,-0.052430385609463004
6,3,1.028204288010819,-0.08017460698627345
6,4,1.061119889631385,-0.11039403367671043
6,5,1.1036859580177807,-0.14353465787315187
6,6,1.1567175701457966,-0.18000569854153878
6,7,1.221203745013219,-0.22025701276891094
6,8,1.2983125012251835,-0.2648237464661792
6,9,1.3894150290148963,-0.3143485513835071
6,10,1.4961159611485317,-0.3695934046637234
6,11,1.6202867941333634,-0.43144867018240296
6,12,1.764102596642992,-0.5009433828879057
6,13,1.9300829482737913,-0.579258609096712
